Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0.0,0.0,1.0,0.0,1.0,0.0,0.0,56,545,4,4,3,4,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,56,1426,4,4,3,0,11.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,12,888,1,5,1,51,65.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,1020,2,2,2,36,35.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,46,642,4,4,4,1,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,42,2125,2,2,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,32,1379,5,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,52,386,5,5,4,24,16.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,11,270,3,4,3,12,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,26,2454,4,4,4,2,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,46,2370,5,5,3,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,29,1250,5,4,5,72,89.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,59,544,1,1,2,0,16.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,68,1444,4,4,5,13,3.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,17,894,3,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,802,4,4,4,2,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,40,3791,5,5,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,53,236,3,3,3,10,9.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,67,1729,2,2,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,60,570,4,4,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,28,479,4,5,4,5,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,53,853,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,1992,4,4,4,2,3.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,42,972,3,3,5,244,285.0
